File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
cloudinit/signal_handler.py,15,20,33,33,0,5,18,13,-5,
cloudinit/simpletable.py,1,17,25,25,0,16,24,8,-16,
cloudinit/sources/DataSourceAkamai.py,33,93,126,126,0,60,93,33,-60,
cloudinit/sources/DataSourceAliYun.py,2,28,53,53,0,26,51,25,-26,
cloudinit/sources/DataSourceAltCloud.py,8,95,118,117,-1,87,110,22,-88,
cloudinit/sources/DataSourceAzure.py,152,814,989,989,0,662,837,175,-662,
cloudinit/sources/DataSourceBigstep.py,6,23,35,35,0,17,29,12,-17,
cloudinit/sources/DataSourceCloudSigma.py,11,37,57,57,0,26,46,20,-26,
cloudinit/sources/DataSourceCloudStack.py,34,108,141,141,0,74,107,33,-74,
cloudinit/sources/DataSourceConfigDrive.py,42,153,188,188,0,111,146,35,-111,
cloudinit/sources/DataSourceDigitalOcean.py,12,45,66,66,0,33,54,21,-33,
cloudinit/sources/DataSourceEc2.py,120,392,487,487,0,272,367,95,-272,
cloudinit/sources/DataSourceExoscale.py,16,64,90,90,0,48,74,26,-48,
cloudinit/sources/DataSourceGCE.py,34,179,226,226,0,145,192,47,-145,
cloudinit/sources/DataSourceHetzner.py,23,51,73,72,-1,28,50,21,-29,
cloudinit/sources/DataSourceIBMCloud.py,38,147,182,181,-1,109,144,34,-110,
cloudinit/sources/DataSourceLXD.py,32,138,199,199,0,106,167,61,-106,
cloudinit/sources/DataSourceMAAS.py,128,201,239,239,0,73,111,38,-73,
cloudinit/sources/DataSourceNWCS.py,28,53,77,77,0,25,49,24,-25,
cloudinit/sources/DataSourceNoCloud.py,82,199,227,227,0,117,145,28,-117,
cloudinit/sources/DataSourceNone.py,2,9,23,23,0,7,21,14,-7,
cloudinit/sources/DataSourceOVF.py,36,217,251,250,-1,181,215,33,-182,
cloudinit/sources/DataSourceOpenNebula.py,21,228,274,274,0,207,253,46,-207,
cloudinit/sources/DataSourceOpenStack.py,21,112,151,151,0,91,130,39,-91,
cloudinit/sources/DataSourceOracle.py,12,122,168,167,-1,110,156,45,-111,
cloudinit/sources/DataSourceRbxCloud.py,34,66,99,98,-1,32,65,32,-33,
cloudinit/sources/DataSourceScaleway.py,25,155,204,204,0,130,179,49,-130,
cloudinit/sources/DataSourceSmartOS.py,144,379,469,469,0,235,325,90,-235,
cloudinit/sources/DataSourceUpCloud.py,10,50,75,75,0,40,65,25,-40,
cloudinit/sources/DataSourceVMware.py,219,423,494,493,-1,204,275,70,-205,
cloudinit/sources/DataSourceVultr.py,18,38,61,61,0,20,43,23,-20,
cloudinit/sources/__init__.py,48,428,581,581,0,380,533,153,-380,
cloudinit/sources/azure/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/sources/azure/errors.py,1,60,99,99,0,59,98,39,-59,
cloudinit/sources/azure/identity.py,0,31,48,48,0,31,48,17,-31,
cloudinit/sources/azure/imds.py,2,62,78,78,0,60,76,16,-60,
cloudinit/sources/azure/kvp.py,2,17,28,28,0,15,26,11,-15,
cloudinit/sources/helpers/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/sources/helpers/akamai.py,1,15,22,22,0,14,21,7,-14,
cloudinit/sources/helpers/azure.py,63,352,477,477,0,289,414,125,-289,
cloudinit/sources/helpers/cloudsigma.py,21,21,42,41,-1,0,21,20,-1,
cloudinit/sources/helpers/digitalocean.py,50,86,100,100,0,36,50,14,-36,
cloudinit/sources/helpers/ec2.py,11,121,140,140,0,110,129,19,-110,
cloudinit/sources/helpers/hetzner.py,8,8,11,11,0,0,3,3,0,
cloudinit/sources/helpers/netlink.py,5,123,172,172,0,118,167,49,-118,
cloudinit/sources/helpers/openstack.py,65,334,392,392,0,269,327,58,-269,
cloudinit/sources/helpers/upcloud.py,18,54,64,64,0,36,46,10,-36,
cloudinit/sources/helpers/vmware/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/sources/helpers/vmware/imc/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/sources/helpers/vmware/imc/boot_proto.py,0,0,3,3,0,0,3,3,0,
cloudinit/sources/helpers/vmware/imc/config.py,2,42,90,90,0,40,88,48,-40,
cloudinit/sources/helpers/vmware/imc/config_custom_script.py,1,23,44,44,0,22,43,21,-22,
cloudinit/sources/helpers/vmware/imc/config_file.py,0,20,29,29,0,20,29,9,-20,
cloudinit/sources/helpers/vmware/imc/config_nic.py,32,112,130,130,0,80,98,18,-80,
cloudinit/sources/helpers/vmware/imc/config_passwd.py,26,26,33,33,0,0,7,7,0,
cloudinit/sources/helpers/vmware/imc/config_source.py,0,0,1,1,0,0,1,1,0,
cloudinit/sources/helpers/vmware/imc/guestcust_error.py,0,0,4,4,0,0,4,4,0,
cloudinit/sources/helpers/vmware/imc/guestcust_event.py,0,0,5,5,0,0,5,5,0,
cloudinit/sources/helpers/vmware/imc/guestcust_state.py,0,0,3,3,0,0,3,3,0,
cloudinit/sources/helpers/vmware/imc/guestcust_util.py,102,282,335,335,0,180,233,53,-180,
cloudinit/sources/helpers/vmware/imc/nic.py,5,46,84,84,0,41,79,38,-41,
cloudinit/sources/helpers/vmware/imc/nic_base.py,14,14,44,44,0,0,30,30,0,
cloudinit/sources/helpers/vultr.py,43,95,119,119,0,52,76,24,-52,
cloudinit/ssh_util.py,73,308,349,349,0,235,276,41,-235,
cloudinit/stages.py,49,407,483,483,0,358,434,76,-358,
cloudinit/subp.py,15,92,154,153,-1,77,139,61,-78,
cloudinit/temp_utils.py,8,40,58,58,0,32,50,18,-32,
cloudinit/templater.py,13,76,110,110,0,63,97,34,-63,
cloudinit/type_utils.py,1,3,8,8,0,2,7,5,-2,
cloudinit/url_helper.py,92,320,387,387,0,228,295,67,-228,
cloudinit/user_data.py,32,181,221,221,0,149,189,40,-149,
cloudinit/util.py,306,1458,1794,1794,0,1152,1488,336,-1152,
cloudinit/version.py,0,1,7,7,0,1,7,6,-1,
cloudinit/warnings.py,43,43,52,52,0,0,9,9,0,
,5890,23450,30332,30248,-84,17560,24442,6798,-17644,Total
